country,year,value,region,indicator
MOZ,2014,69.20405,Africa,NCD_UNDER70
AUS,2004,30.31316,Western Pacific,NCD_UNDER70
KGZ,2008,60.18538,Europe,NCD_UNDER70
DEU,2008,33.70876,Europe,NCD_UNDER70
WSM,2000,48.1134,Western Pacific,NCD_UNDER70
KHM,2007,65.1404,Western Pacific,NCD_UNDER70
MDG,2013,62.48823,Africa,NCD_UNDER70
EGY,2010,65.4921,Eastern Mediterranean,NCD_UNDER70
EUR,2000,25.37326,NA,NCD_UNDER70
SOM,2000,70.9518,Eastern Mediterranean,NCD_UNDER70
BTN,2012,49.0294,South-East Asia,NCD_UNDER70
GUY,2011,53.49445,Americas,NCD_UNDER70
ISR,2003,25.94559,Europe,NCD_UNDER70
ZMB,2003,62.86232,Africa,NCD_UNDER70
ALB,2021,12.62254,Europe,NCD_UNDER70
SEN,2019,59.37475,Africa,NCD_UNDER70
AUS,2007,19.31092,Western Pacific,NCD_UNDER70
MNG,2017,50.23154,Western Pacific,NCD_UNDER70
FRA,2008,24.56025,Europe,NCD_UNDER70
SVN,2002,46.02395,Europe,NCD_UNDER70
PER,2005,46.5433,Americas,NCD_UNDER70
STP,2009,48.42324,Africa,NCD_UNDER70
NZL,2009,22.37501,Western Pacific,NCD_UNDER70
IND,2008,51.01668,South-East Asia,NCD_UNDER70
SSD,2004,61.38554,Africa,NCD_UNDER70
KEN,2004,70.476,Africa,NCD_UNDER70
LUX,2005,34.80143,Europe,NCD_UNDER70
MKD,2007,26.67528,Europe,NCD_UNDER70
GHA,2012,58.167,Africa,NCD_UNDER70
GMB,2008,60.08502,Africa,NCD_UNDER70
KOR,2005,40.48676,Western Pacific,NCD_UNDER70
MDA,2017,58.88337,Europe,NCD_UNDER70
SWE,2019,16.33832,Europe,NCD_UNDER70
BRN,2017,55.60168,Western Pacific,NCD_UNDER70
GNQ,2020,58.9067,Africa,NCD_UNDER70
MKD,2013,31.67179,Europe,NCD_UNDER70
ECU,2010,44.52199,Americas,NCD_UNDER70
KHM,2017,52.71233,Western Pacific,NCD_UNDER70
TKM,2009,57.25421,Europe,NCD_UNDER70
AZE,2002,45.76697,Europe,NCD_UNDER70
SYC,2008,42.3529,Africa,NCD_UNDER70
LUX,2012,23.83888,Europe,NCD_UNDER70
IDN,2010,53.80877,South-East Asia,NCD_UNDER70
UGA,2006,65.87802,Africa,NCD_UNDER70
SWE,2004,14.7538,Europe,NCD_UNDER70
KWT,2006,65.15897,Eastern Mediterranean,NCD_UNDER70
IND,2002,57.94711,South-East Asia,NCD_UNDER70
BDI,2004,74.17104,Africa,NCD_UNDER70
ESP,2011,27.66207,Europe,NCD_UNDER70
ROU,2004,45.65582,Europe,NCD_UNDER70
IDN,2020,45.58435,South-East Asia,NCD_UNDER70
NAM,2021,56.36834,Africa,NCD_UNDER70
KWT,2014,74.33113,Eastern Mediterranean,NCD_UNDER70
CYP,2015,30.69641,Europe,NCD_UNDER70
THA,2005,42.66943,South-East Asia,NCD_UNDER70
BOL,2000,51.62462,Americas,NCD_UNDER70
UZB,2018,43.60258,Europe,NCD_UNDER70
BTN,2021,46.0391,South-East Asia,NCD_UNDER70
KIR,2016,62.68518,Western Pacific,NCD_UNDER70
BTN,2003,60.08751,South-East Asia,NCD_UNDER70
PRI,2007,34.08897,Americas,NCD_UNDER70
ZAF,2016,50.99409,Africa,NCD_UNDER70
LSO,2000,50.33289,Africa,NCD_UNDER70
COL,2009,37.85447,Americas,NCD_UNDER70
BHS,2013,47.67778,Americas,NCD_UNDER70
UZB,2001,56.51686,Europe,NCD_UNDER70
OMN,2007,62.05616,Eastern Mediterranean,NCD_UNDER70
GAB,2005,53.79966,Africa,NCD_UNDER70
SSD,2008,63.46135,Africa,NCD_UNDER70
DEU,2017,20.85808,Europe,NCD_UNDER70
BGD,2014,51.60706,South-East Asia,NCD_UNDER70
ISL,2000,23.6844,Europe,NCD_UNDER70
CAN,2018,26.10456,Americas,NCD_UNDER70
NPL,2021,46.59159,South-East Asia,NCD_UNDER70
KEN,2005,64.49519,Africa,NCD_UNDER70
DJI,2019,60.85339,Eastern Mediterranean,NCD_UNDER70
LSO,2002,61.42754,Africa,NCD_UNDER70
THA,2019,44.69046,South-East Asia,NCD_UNDER70
PHL,2009,58.09069,Western Pacific,NCD_UNDER70
MYS,2021,41.5066,Western Pacific,NCD_UNDER70
TLS,2000,75.31642,South-East Asia,NCD_UNDER70
WB_UMI,2002,48.74791,NA,NCD_UNDER70
MAR,2013,47.80357,Eastern Mediterranean,NCD_UNDER70
AUS,2004,25.22769,Western Pacific,NCD_UNDER70
SWE,2000,14.73011,Europe,NCD_UNDER70
NGA,2014,66.3184,Africa,NCD_UNDER70
PRY,2010,56.77914,Americas,NCD_UNDER70
ARG,2002,37.34842,Americas,NCD_UNDER70
OMN,2004,59.8816,Eastern Mediterranean,NCD_UNDER70
ARM,2013,24.21018,Europe,NCD_UNDER70
CUB,2007,33.08811,Americas,NCD_UNDER70
SVN,2005,19.70256,Europe,NCD_UNDER70
ARG,2001,44.23504,Americas,NCD_UNDER70
TCD,2001,69.76521,Africa,NCD_UNDER70
SLE,2019,69.80783,Africa,NCD_UNDER70
PSE,2009,51.83812,Eastern Mediterranean,NCD_UNDER70
HTI,2010,60.47808,Americas,NCD_UNDER70
VUT,2017,58.01399,Western Pacific,NCD_UNDER70
SVK,2003,36.29116,Europe,NCD_UNDER70
LCA,2017,48.092529999999996,Americas,NCD_UNDER70
LUX,2016,29.47409,Europe,NCD_UNDER70
GNB,2014,65.29054,Africa,NCD_UNDER70
KWT,2009,71.21812,Eastern Mediterranean,NCD_UNDER70
PER,2007,43.27231,Americas,NCD_UNDER70
TON,2006,48.44597,Western Pacific,NCD_UNDER70
PNG,2013,66.83849,Western Pacific,NCD_UNDER70
TTO,2005,52.24138,Americas,NCD_UNDER70
LBR,2004,64.99744,Africa,NCD_UNDER70
IRL,2009,22.82669,Europe,NCD_UNDER70
SWE,2003,18.63788,Europe,NCD_UNDER70
IRQ,2007,55.05117,Eastern Mediterranean,NCD_UNDER70
SEN,2003,66.48373,Africa,NCD_UNDER70
TON,2012,45.36167,Western Pacific,NCD_UNDER70
EGY,2017,64.6521,Eastern Mediterranean,NCD_UNDER70
SOM,2006,67.53581,Eastern Mediterranean,NCD_UNDER70
ESP,2021,13.48934,Europe,NCD_UNDER70
NGA,2010,67.76105,Africa,NCD_UNDER70
CHE,2005,15.44879,Europe,NCD_UNDER70
ESP,2012,20.25602,Europe,NCD_UNDER70
PHL,2015,65.76765,Western Pacific,NCD_UNDER70
BHR,2004,44.50677,Eastern Mediterranean,NCD_UNDER70
HUN,2012,45.6895,Europe,NCD_UNDER70
UZB,2015,57.57344,Europe,NCD_UNDER70
MYS,2020,41.8873,Western Pacific,NCD_UNDER70
SYR,2011,41.23905,Eastern Mediterranean,NCD_UNDER70
DJI,2001,67.96843,Eastern Mediterranean,NCD_UNDER70
KAZ,2008,50.91086,Europe,NCD_UNDER70
MLT,2004,27.19862,Europe,NCD_UNDER70
BRN,2005,49.81825,Western Pacific,NCD_UNDER70
MAR,2007,50.29984,Eastern Mediterranean,NCD_UNDER70
HRV,2007,18.2567,Europe,NCD_UNDER70
MLT,2021,21.94076,Europe,NCD_UNDER70
ROU,2006,35.20718,Europe,NCD_UNDER70
TJK,2000,56.30323,Europe,NCD_UNDER70
JPN,2014,19.73033,Western Pacific,NCD_UNDER70
IRQ,2020,57.26516,Eastern Mediterranean,NCD_UNDER70
KWT,2017,70.33798,Eastern Mediterranean,NCD_UNDER70
HUN,2018,43.49307,Europe,NCD_UNDER70
POL,2013,23.26851,Europe,NCD_UNDER70
ARG,2013,28.93822,Americas,NCD_UNDER70
GIN,2005,57.565,Africa,NCD_UNDER70
URY,2003,24.98729,Americas,NCD_UNDER70
ISR,2003,21.28145,Europe,NCD_UNDER70
WSM,2009,43.74208,Western Pacific,NCD_UNDER70
PRK,2005,68.85634,South-East Asia,NCD_UNDER70
OMN,2005,64.08804,Eastern Mediterranean,NCD_UNDER70
VNM,2009,48.43833,Western Pacific,NCD_UNDER70
KHM,2004,71.04681,Western Pacific,NCD_UNDER70
TON,2005,50.82022,Western Pacific,NCD_UNDER70
CZE,2008,21.59925,Europe,NCD_UNDER70
DNK,2003,27.01873,Europe,NCD_UNDER70
MDV,2007,42.33342,South-East Asia,NCD_UNDER70
SVK,2010,35.00291,Europe,NCD_UNDER70
NLD,2002,20.52536,Europe,NCD_UNDER70
EMR,2021,60.57172,NA,NCD_UNDER70
LTU,2005,23.14513,Europe,NCD_UNDER70
GNQ,2002,62.0878,Africa,NCD_UNDER70
NLD,2005,31.59902,Europe,NCD_UNDER70
VUT,2011,59.05859,Western Pacific,NCD_UNDER70
NPL,2014,53.20548,South-East Asia,NCD_UNDER70
OMN,2004,64.3288,Eastern Mediterranean,NCD_UNDER70
WPR,2020,37.9716,NA,NCD_UNDER70
WB_LI,2017,56.99841,NA,NCD_UNDER70
RUS,2019,26.58968,Europe,NCD_UNDER70
SVK,2018,35.615,Europe,NCD_UNDER70
VNM,2003,37.29979,Western Pacific,NCD_UNDER70
JAM,2005,35.05698,Americas,NCD_UNDER70
BFA,2001,72.21548,Africa,NCD_UNDER70
NOR,2015,16.35438,Europe,NCD_UNDER70
TUR,2000,56.85046,Europe,NCD_UNDER70
WSM,2014,60.22345,Western Pacific,NCD_UNDER70
NOR,2010,28.33705,Europe,NCD_UNDER70
TZA,2018,63.20324,Africa,NCD_UNDER70
TCD,2002,65.87383,Africa,NCD_UNDER70
ZWE,2011,56.36358,Africa,NCD_UNDER70
GUY,2006,53.46218,Americas,NCD_UNDER70
IDN,2013,52.69391,South-East Asia,NCD_UNDER70
KOR,2021,27.28451,Western Pacific,NCD_UNDER70
EUR,2007,23.62154,NA,NCD_UNDER70
MAR,2009,49.55553,Eastern Mediterranean,NCD_UNDER70
ZWE,2015,57.15775,Africa,NCD_UNDER70
TLS,2016,54.84272,South-East Asia,NCD_UNDER70
FIN,2016,30.23415,Europe,NCD_UNDER70
NZL,2018,21.23688,Western Pacific,NCD_UNDER70
GHA,2001,65.26896,Africa,NCD_UNDER70
SYC,2006,52.12773,Africa,NCD_UNDER70
PAN,2000,47.52744,Americas,NCD_UNDER70
SUR,2002,54.39328,Americas,NCD_UNDER70
WB_HI,2007,40.08775,NA,NCD_UNDER70
BTN,2020,44.95702,South-East Asia,NCD_UNDER70
VUT,2003,58.49149,Western Pacific,NCD_UNDER70
GLOBAL,2014,41.53323,NA,NCD_UNDER70
JOR,2003,52.42138,Eastern Mediterranean,NCD_UNDER70
SLB,2005,54.05309,Western Pacific,NCD_UNDER70
TKM,2006,51.15352,Europe,NCD_UNDER70
SLV,2001,49.15316,Americas,NCD_UNDER70
QAT,2004,56.4515,Eastern Mediterranean,NCD_UNDER70
DZA,2006,46.90518,Africa,NCD_UNDER70
JAM,2013,31.21796,Americas,NCD_UNDER70
VNM,2002,37.70811,Western Pacific,NCD_UNDER70
BHR,2021,42.67905,Eastern Mediterranean,NCD_UNDER70
FRA,2007,25.00045,Europe,NCD_UNDER70
CHE,2018,23.58185,Europe,NCD_UNDER70
USA,2005,37.85263,Americas,NCD_UNDER70
BRN,2006,54.9099,Western Pacific,NCD_UNDER70
MLI,2008,68.25095,Africa,NCD_UNDER70
PRT,2014,28.15836,Europe,NCD_UNDER70
CIV,2011,62.30153,Africa,NCD_UNDER70
GLOBAL,2019,34.96115,NA,NCD_UNDER70
LKA,2000,42.53197,South-East Asia,NCD_UNDER70
SLE,2005,68.56404,Africa,NCD_UNDER70
GHA,2007,61.04343,Africa,NCD_UNDER70
CAF,2008,74.58163,Africa,NCD_UNDER70
AFG,2018,63.46153,Eastern Mediterranean,NCD_UNDER70
STP,2012,47.48389,Africa,NCD_UNDER70
SOM,2013,76.12358,Eastern Mediterranean,NCD_UNDER70
MDA,2012,40.0691,Europe,NCD_UNDER70
MEX,2003,53.3201,Americas,NCD_UNDER70
USA,2018,32.83414,Americas,NCD_UNDER70
NIC,2004,57.53669,Americas,NCD_UNDER70
EUR,2018,20.99881,NA,NCD_UNDER70
TCD,2013,74.24745,Africa,NCD_UNDER70
WB_HI,2020,19.66312,NA,NCD_UNDER70
BIH,2003,40.7704,Europe,NCD_UNDER70
CHN,2007,40.7161,Western Pacific,NCD_UNDER70
MDV,2000,56.14427,South-East Asia,NCD_UNDER70
LSO,2011,53.83519,Africa,NCD_UNDER70
THA,2013,54.43985,South-East Asia,NCD_UNDER70
WB_UMI,2015,38.56727,NA,NCD_UNDER70
PHL,2012,66.62075,Western Pacific,NCD_UNDER70
ROU,2007,44.07953,Europe,NCD_UNDER70
SLB,2013,62.07792,Western Pacific,NCD_UNDER70
CIV,2018,66.62716,Africa,NCD_UNDER70
FSM,2000,62.98714,Western Pacific,NCD_UNDER70
NOR,2005,16.51707,Europe,NCD_UNDER70
CRI,2010,39.05967,Americas,NCD_UNDER70
MKD,2005,45.23536,Europe,NCD_UNDER70
CZE,2005,30.98769,Europe,NCD_UNDER70
GBR,2021,22.69221,Europe,NCD_UNDER70
FIN,2012,24.99692,Europe,NCD_UNDER70
SDN,2003,57.53037,Eastern Mediterranean,NCD_UNDER70
ZWE,2016,55.36191,Africa,NCD_UNDER70
NIC,2018,63.39533,Americas,NCD_UNDER70
IRN,2004,42.10348,Eastern Mediterranean,NCD_UNDER70
TON,2019,43.43139,Western Pacific,NCD_UNDER70
LSO,2021,63.95682,Africa,NCD_UNDER70
BLR,2017,52.48547,Europe,NCD_UNDER70
KAZ,2019,35.52029,Europe,NCD_UNDER70
PAN,2014,36.72504,Americas,NCD_UNDER70
BEL,2004,16.70262,Europe,NCD_UNDER70
LBR,2001,65.98131,Africa,NCD_UNDER70
COD,2016,62.3243,Africa,NCD_UNDER70
ETH,2021,59.19162,Africa,NCD_UNDER70
ROU,2008,43.25754,Europe,NCD_UNDER70
COG,2012,55.55344,Africa,NCD_UNDER70
ARE,2001,47.03342,Eastern Mediterranean,NCD_UNDER70
PAN,2019,35.88679,Americas,NCD_UNDER70
FRA,2002,25.81246,Europe,NCD_UNDER70
SWE,2011,24.23564,Europe,NCD_UNDER70
BOL,2004,46.50611,Americas,NCD_UNDER70
SDN,2006,58.8159,Eastern Mediterranean,NCD_UNDER70
TTO,2007,64.46069,Americas,NCD_UNDER70
VUT,2013,59.78886,Western Pacific,NCD_UNDER70
ESP,2003,14.02538,Europe,NCD_UNDER70
MNG,2013,62.83689,Western Pacific,NCD_UNDER70
WB_LMI,2011,61.88292,NA,NCD_UNDER70
GMB,2002,62.87017,Africa,NCD_UNDER70
NGA,2006,64.5574,Africa,NCD_UNDER70
SVN,2015,16.97639,Europe,NCD_UNDER70
CHE,2011,15.38796,Europe,NCD_UNDER70
GAB,2002,41.82789,Africa,NCD_UNDER70
WB_LMI,2016,60.32716,NA,NCD_UNDER70
