country,year,value,region,indicator
ALB,2016,6.65608,Europe,MDG_0000000026
BLZ,2005,71.88607,Americas,MDG_0000000026
ZWE,1988,374.77463,Africa,MDG_0000000026
HUN,2018,14.58146,Europe,MDG_0000000026
NIC,2000,168.81963,Americas,MDG_0000000026
MRT,2000,683.63869,Africa,MDG_0000000026
COG,2016,352.6002,Africa,MDG_0000000026
DNK,1999,8.80503,Europe,MDG_0000000026
UKR,2016,10.3121,Europe,MDG_0000000026
GNB,1988,1558.58661,Africa,MDG_0000000026
HRV,2014,5.89039,Europe,MDG_0000000026
FIN,1997,7.04295,Europe,MDG_0000000026
SYR,2007,20.53196,Eastern Mediterranean,MDG_0000000026
RWA,2016,291.65328,Africa,MDG_0000000026
ZMB,2018,144.87115,Africa,MDG_0000000026
LBR,2013,631.61943,Africa,MDG_0000000026
MMR,2001,323.11154,South-East Asia,MDG_0000000026
DOM,2013,93.4655,Americas,MDG_0000000026
DJI,2017,247.05329,Eastern Mediterranean,MDG_0000000026
MOZ,2003,441.60684,Africa,MDG_0000000026
AGO,2001,799.64079,Africa,MDG_0000000026
LCA,2019,72.0371,Americas,MDG_0000000026
CHE,1998,7.86342,Europe,MDG_0000000026
VEN,1993,96.39916,Americas,MDG_0000000026
NLD,1991,11.05093,Europe,MDG_0000000026
DOM,2001,68.55596,Americas,MDG_0000000026
PRI,1986,30.43564,Americas,MDG_0000000026
GBR,2015,8.39114,Europe,MDG_0000000026
GNB,2019,709.50776,Africa,MDG_0000000026
THA,2005,39.52228,South-East Asia,MDG_0000000026
MNE,2019,5.81691,Europe,MDG_0000000026
UKR,1997,40.55347,Europe,MDG_0000000026
BWA,2014,178.56327,Africa,MDG_0000000026
LBN,2009,18.73841,Eastern Mediterranean,MDG_0000000026
CRI,2005,30.53662,Americas,MDG_0000000026
SEAR,2001,359.36165,NA,MDG_0000000026
GIN,1994,1049.53008,Africa,MDG_0000000026
IND,2008,220.52027,South-East Asia,MDG_0000000026
NZL,1999,12.28257,Western Pacific,MDG_0000000026
LBN,2004,24.59849,Eastern Mediterranean,MDG_0000000026
VNM,1990,114.23397,Western Pacific,MDG_0000000026
COG,2008,414.86237,Africa,MDG_0000000026
PNG,2002,325.42512,Western Pacific,MDG_0000000026
ROU,1990,126.95267,Europe,MDG_0000000026
FJI,2010,41.56974,Western Pacific,MDG_0000000026
ARE,2006,11.94569,Eastern Mediterranean,MDG_0000000026
GAB,2005,239.4148,Africa,MDG_0000000026
SWE,1996,6.45636,Europe,MDG_0000000026
MEX,1989,83.42751,Americas,MDG_0000000026
BLZ,2017,71.97347,Americas,MDG_0000000026
TKM,2007,12.85905,Europe,MDG_0000000026
HUN,2009,14.42269,Europe,MDG_0000000026
MYS,2002,36.47183,Western Pacific,MDG_0000000026
EGY,1986,143.0589,Eastern Mediterranean,MDG_0000000026
IRL,2011,7.41757,Europe,MDG_0000000026
CAF,2009,1104.81976,Africa,MDG_0000000026
MKD,1985,17.92325,Europe,MDG_0000000026
