country,year,value,region,indicator
SEAR,2021,28.84898,NA,MDG_0000000007
CZE,2003,5.3239,Europe,MDG_0000000007
NAM,2016,41.01799,Africa,MDG_0000000007
NIU,2015,31.00371,Western Pacific,MDG_0000000007
SLB,2012,27.12722,Western Pacific,MDG_0000000007
NLD,1958,24.93971,Europe,MDG_0000000007
TUV,2003,35.24277,Western Pacific,MDG_0000000007
EGY,1994,69.21531,Eastern Mediterranean,MDG_0000000007
IRL,1976,16.96413,Europe,MDG_0000000007
JOR,1954,219.39695,Eastern Mediterranean,MDG_0000000007
SEAR,2009,55.35626,NA,MDG_0000000007
MDV,2009,14.91949,South-East Asia,MDG_0000000007
IRL,2012,3.62932,Europe,MDG_0000000007
MYS,2013,8.07298,Western Pacific,MDG_0000000007
BFA,1980,248.20622,Africa,MDG_0000000007
SRB,2016,5.44095,Europe,MDG_0000000007
BOL,1975,186.7407,Americas,MDG_0000000007
VNM,1974,67.83133,Western Pacific,MDG_0000000007
EGY,2020,18.09849,Eastern Mediterranean,MDG_0000000007
MDA,2008,19.69352,Europe,MDG_0000000007
AUS,2013,4.47478,Western Pacific,MDG_0000000007
BGD,1978,212.84397,South-East Asia,MDG_0000000007
IRN,1990,57.84725,Eastern Mediterranean,MDG_0000000007
JAM,1987,26.20576,Americas,MDG_0000000007
LBY,2011,21.11976,Eastern Mediterranean,MDG_0000000007
MLI,2001,173.91354,Africa,MDG_0000000007
SVK,1951,101.43454,Europe,MDG_0000000007
LVA,1988,15.3201,Europe,MDG_0000000007
PAK,1957,285.57507,Eastern Mediterranean,MDG_0000000007
STP,1991,115.16394,Africa,MDG_0000000007
ERI,2017,48.47805,Africa,MDG_0000000007
LTU,2021,3.19206,Europe,MDG_0000000007
SGP,1967,28.37501,Western Pacific,MDG_0000000007
FJI,1960,79.16692,Western Pacific,MDG_0000000007
LTU,2004,8.34801,Europe,MDG_0000000007
PSE,1977,95.1281,Eastern Mediterranean,MDG_0000000007
LCA,1952,160.21674,Americas,MDG_0000000007
SLB,1976,61.48816,Western Pacific,MDG_0000000007
BIH,2001,10.07025,Europe,MDG_0000000007
ERI,1979,213.17545,Africa,MDG_0000000007
KOR,1989,18.45262,Western Pacific,MDG_0000000007
POL,1997,10.87598,Europe,MDG_0000000007
GAB,2022,38.81992,Africa,MDG_0000000007
ZWE,1957,170.89592,Africa,MDG_0000000007
GUY,1973,65.4944,Americas,MDG_0000000007
SEAR,1997,94.62048,NA,MDG_0000000007
NIU,1998,30.85291,Western Pacific,MDG_0000000007
BWA,2021,43.54682,Africa,MDG_0000000007
EST,2005,7.13691,Europe,MDG_0000000007
LSO,1980,123.63241,Africa,MDG_0000000007
HRV,1991,11.78822,Europe,MDG_0000000007
POL,2010,5.4259,Europe,MDG_0000000007
MDG,1981,173.84952,Africa,MDG_0000000007
ITA,2019,3.04692,Europe,MDG_0000000007
CYP,2002,5.69112,Europe,MDG_0000000007
AUT,1996,6.95746,Europe,MDG_0000000007
BRN,1972,43.59649,Western Pacific,MDG_0000000007
PRT,1967,71.51593,Europe,MDG_0000000007
COL,2011,19.63284,Americas,MDG_0000000007
URY,1961,55.74535,Americas,MDG_0000000007
SEAR,1996,95.67685,NA,MDG_0000000007
CHN,2002,31.49836,Western Pacific,MDG_0000000007
BEL,1963,33.47954,Europe,MDG_0000000007
MYS,1963,77.42284,Western Pacific,MDG_0000000007
CMR,2013,104.52315,Africa,MDG_0000000007
VNM,1999,31.41456,Western Pacific,MDG_0000000007
COD,1992,180.98337,Africa,MDG_0000000007
BRA,2020,12.86459,Americas,MDG_0000000007
TGO,1991,153.96406,Africa,MDG_0000000007
SEN,2014,53.71458,Africa,MDG_0000000007
DOM,2002,37.98946,Americas,MDG_0000000007
KEN,1982,108.31251,Africa,MDG_0000000007
IDN,1964,186.91316,South-East Asia,MDG_0000000007
ARG,1989,31.97584,Americas,MDG_0000000007
ERI,1996,118.32988,Africa,MDG_0000000007
VCT,1991,24.88246,Americas,MDG_0000000007
IRQ,1997,50.84578,Eastern Mediterranean,MDG_0000000007
CZE,1953,48.63012,Europe,MDG_0000000007
KWT,2017,8.00457,Eastern Mediterranean,MDG_0000000007
POL,1978,21.70063,Europe,MDG_0000000007
PRY,2005,32.64811,Americas,MDG_0000000007
POL,2012,4.92022,Europe,MDG_0000000007
TLS,1992,168.17923,South-East Asia,MDG_0000000007
MNG,2021,14.02282,Western Pacific,MDG_0000000007
CHE,1969,19.17288,Europe,MDG_0000000007
FRA,1988,10.89694,Europe,MDG_0000000007
POL,1951,126.82974,Europe,MDG_0000000007
ARE,1995,13.51375,Eastern Mediterranean,MDG_0000000007
WPR,2007,21.26044,NA,MDG_0000000007
BRN,1970,52.89529,Western Pacific,MDG_0000000007
JPN,2001,4.30786,Western Pacific,MDG_0000000007
USA,1991,12.07079,Americas,MDG_0000000007
TKM,1988,83.40472,Europe,MDG_0000000007
SYC,1954,116.29324,Africa,MDG_0000000007
SSD,1991,240.33205,Africa,MDG_0000000007
MYS,1997,12.38692,Western Pacific,MDG_0000000007
MSR,1973,48.42652,Americas,MDG_0000000007
BHS,2000,16.1328,Americas,MDG_0000000007
AFR,2021,66.23667,NA,MDG_0000000007
HUN,1960,59.55475,Europe,MDG_0000000007
LCA,1966,96.43925,Americas,MDG_0000000007
TON,2019,10.36942,Western Pacific,MDG_0000000007
JOR,1988,38.72763,Eastern Mediterranean,MDG_0000000007
MLI,2016,106.41263,Africa,MDG_0000000007
NPL,1965,300.1342,South-East Asia,MDG_0000000007
FRA,2011,4.15287,Europe,MDG_0000000007
THA,1964,121.51906,South-East Asia,MDG_0000000007
MCO,2011,3.91082,Europe,MDG_0000000007
NZL,1985,13.78322,Western Pacific,MDG_0000000007
BRB,1979,25.68417,Americas,MDG_0000000007
MNG,1996,82.12961,Western Pacific,MDG_0000000007
MHL,1975,63.17892,Western Pacific,MDG_0000000007
JOR,1973,77.59096,Eastern Mediterranean,MDG_0000000007
GRD,2016,13.90596,Americas,MDG_0000000007
AUT,2004,4.5406,Europe,MDG_0000000007
SVN,1984,15.28416,Europe,MDG_0000000007
SLB,2016,24.06495,Western Pacific,MDG_0000000007
JOR,1996,29.97442,Eastern Mediterranean,MDG_0000000007
CMR,2017,88.85203,Africa,MDG_0000000007
GEO,2010,14.1494,Europe,MDG_0000000007
BDI,2021,52.31877,Africa,MDG_0000000007
SEAR,2003,71.4684,NA,MDG_0000000007
BWA,1974,97.42208,Africa,MDG_0000000007
UGA,1986,193.61563,Africa,MDG_0000000007
BHR,1992,21.46903,Eastern Mediterranean,MDG_0000000007
ALB,2016,8.64605,Europe,MDG_0000000007
AUS,2003,5.27724,Western Pacific,MDG_0000000007
LBN,1972,62.03699,Eastern Mediterranean,MDG_0000000007
THA,1990,33.09162,South-East Asia,MDG_0000000007
AGO,1982,234.31224,Africa,MDG_0000000007
IRL,1991,9.53797,Europe,MDG_0000000007
VEN,1999,19.6927,Americas,MDG_0000000007
AIA,2008,8.91944,Americas,MDG_0000000007
UGA,2004,114.976,Africa,MDG_0000000007
VUT,1985,45.46017,Western Pacific,MDG_0000000007
NLD,2011,4.31381,Europe,MDG_0000000007
ROU,1974,47.56918,Europe,MDG_0000000007
QAT,1982,35.49262,Eastern Mediterranean,MDG_0000000007
KEN,1964,177.5851,Africa,MDG_0000000007
SLE,2019,112.19855,Africa,MDG_0000000007
DNK,1974,13.05927,Europe,MDG_0000000007
PER,1972,156.05998,Americas,MDG_0000000007
COG,1956,219.5741,Africa,MDG_0000000007
ROU,1968,66.77961,Europe,MDG_0000000007
PAN,1958,91.95281,Americas,MDG_0000000007
PHL,2009,30.1645,Western Pacific,MDG_0000000007
AND,1994,8.49421,Europe,MDG_0000000007
LCA,2012,19.47589,Americas,MDG_0000000007
