country,year,value,region,indicator
MHL,2016,43,Western Pacific,MDG_0000000017
CYP,2016,0.22,Europe,MDG_0000000017
PHL,2010,29,Western Pacific,MDG_0000000017
ATG,2021,1.2,Americas,MDG_0000000017
EMR,2022,10,NA,MDG_0000000017
SLV,2015,1,Americas,MDG_0000000017
CHL,2016,2.2,Americas,MDG_0000000017
ROU,2007,7.5,Europe,MDG_0000000017
PAK,2021,21,Eastern Mediterranean,MDG_0000000017
KHM,2018,18,Western Pacific,MDG_0000000017
SUR,2021,2.8,Americas,MDG_0000000017
RUS,2000,21,Europe,MDG_0000000017
KIR,2007,43,Western Pacific,MDG_0000000017
TKM,2014,10,Europe,MDG_0000000017
GMB,2004,20,Africa,MDG_0000000017
NPL,2016,65,South-East Asia,MDG_0000000017
USA,2012,0.17,Americas,MDG_0000000017
LSO,2000,54,Africa,MDG_0000000017
MNE,2005,0.61,Europe,MDG_0000000017
GTM,2013,2.3,Americas,MDG_0000000017
BIH,2011,5,Europe,MDG_0000000017
TCD,2000,30,Africa,MDG_0000000017
SVK,2020,0.39,Europe,MDG_0000000017
LVA,2015,5,Europe,MDG_0000000017
JPN,2022,2.6,Western Pacific,MDG_0000000017
MAR,2020,9.3,Eastern Mediterranean,MDG_0000000017
MDA,2015,8,Europe,MDG_0000000017
TUR,2021,0.43,Europe,MDG_0000000017
BLZ,2009,3.8,Americas,MDG_0000000017
SVK,2021,0.32,Europe,MDG_0000000017
LKA,2004,9.1,South-East Asia,MDG_0000000017
OMN,2004,0.69,Eastern Mediterranean,MDG_0000000017
BEL,2008,0.73,Europe,MDG_0000000017
WB_UMI,2016,7.3,NA,MDG_0000000017
NOR,2020,0.14,Europe,MDG_0000000017
IRN,2019,1,Eastern Mediterranean,MDG_0000000017
HND,2022,4.7,Americas,MDG_0000000017
MOZ,2012,33,Africa,MDG_0000000017
BHR,2013,0.45,Eastern Mediterranean,MDG_0000000017
LKA,2003,7.1,South-East Asia,MDG_0000000017
KHM,2016,20,Western Pacific,MDG_0000000017
HRV,2021,0.56,Europe,MDG_0000000017
GUY,2015,12,Americas,MDG_0000000017
KWT,2015,0.46,Eastern Mediterranean,MDG_0000000017
PSE,2004,0.09,Eastern Mediterranean,MDG_0000000017
PAN,2017,5.3,Americas,MDG_0000000017
MLI,2013,9.3,Africa,MDG_0000000017
NPL,2021,58,South-East Asia,MDG_0000000017
TCD,2016,25,Africa,MDG_0000000017
EUR,2018,2.5,NA,MDG_0000000017
NIC,2023,1.9,Americas,MDG_0000000017
NGA,2004,63,Africa,MDG_0000000017
MMR,2008,114,South-East Asia,MDG_0000000017
COM,2010,7.2,Africa,MDG_0000000017
MKD,2007,2.9,Europe,MDG_0000000017
NPL,2022,56,South-East Asia,MDG_0000000017
GEO,2015,4,Europe,MDG_0000000017
PRT,2010,2.2,Europe,MDG_0000000017
SAU,2006,1.7,Eastern Mediterranean,MDG_0000000017
TLS,2020,115,South-East Asia,MDG_0000000017
LSO,2009,67,Africa,MDG_0000000017
SLB,2014,8.1,Western Pacific,MDG_0000000017
GUY,2005,14,Americas,MDG_0000000017
SEAR,2023,28,NA,MDG_0000000017
LSO,2020,57,Africa,MDG_0000000017
BHR,2010,0.79,Eastern Mediterranean,MDG_0000000017
EUR,2015,3.4,NA,MDG_0000000017
KGZ,2000,22,Europe,MDG_0000000017
ARM,2016,1.9,Europe,MDG_0000000017
MAR,2014,8.1,Eastern Mediterranean,MDG_0000000017
LTU,2006,11,Europe,MDG_0000000017
ZWE,2020,13,Africa,MDG_0000000017
SLB,2010,8.8,Western Pacific,MDG_0000000017
ISR,2015,0.18,Europe,MDG_0000000017
CHN,2012,3,Western Pacific,MDG_0000000017
