country,year,value,region,indicator
COK,2017,NA,Western Pacific,HSS_UHCLEGISLATION
TLS,2017,NA,South-East Asia,HSS_UHCLEGISLATION
CHN,2017,NA,Western Pacific,HSS_UHCLEGISLATION
IRL,2017,NA,Europe,HSS_UHCLEGISLATION
MDV,2017,NA,South-East Asia,HSS_UHCLEGISLATION
TUR,2017,NA,Europe,HSS_UHCLEGISLATION
AUT,2017,NA,Europe,HSS_UHCLEGISLATION
MMR,2017,NA,South-East Asia,HSS_UHCLEGISLATION
UKR,2017,NA,Europe,HSS_UHCLEGISLATION
LAO,2017,NA,Western Pacific,HSS_UHCLEGISLATION
CAN,2017,NA,Americas,HSS_UHCLEGISLATION
ECU,2017,NA,Americas,HSS_UHCLEGISLATION
BGD,2017,NA,South-East Asia,HSS_UHCLEGISLATION
LBN,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
CHL,2017,NA,Americas,HSS_UHCLEGISLATION
MWI,2017,NA,Africa,HSS_UHCLEGISLATION
NPL,2017,NA,South-East Asia,HSS_UHCLEGISLATION
POL,2017,NA,Europe,HSS_UHCLEGISLATION
GIN,2017,NA,Africa,HSS_UHCLEGISLATION
ARG,2017,NA,Americas,HSS_UHCLEGISLATION
ATG,2017,NA,Americas,HSS_UHCLEGISLATION
KEN,2017,NA,Africa,HSS_UHCLEGISLATION
ETH,2017,NA,Africa,HSS_UHCLEGISLATION
BEL,2017,NA,Europe,HSS_UHCLEGISLATION
SAU,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
COG,2017,NA,Africa,HSS_UHCLEGISLATION
COM,2017,NA,Africa,HSS_UHCLEGISLATION
AFG,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
JOR,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
BEN,2017,NA,Africa,HSS_UHCLEGISLATION
MOZ,2017,NA,Africa,HSS_UHCLEGISLATION
TTO,2017,NA,Americas,HSS_UHCLEGISLATION
KHM,2017,NA,Western Pacific,HSS_UHCLEGISLATION
MNG,2017,NA,Western Pacific,HSS_UHCLEGISLATION
JPN,2017,NA,Western Pacific,HSS_UHCLEGISLATION
STP,2017,NA,Africa,HSS_UHCLEGISLATION
ZWE,2017,NA,Africa,HSS_UHCLEGISLATION
CZE,2017,NA,Europe,HSS_UHCLEGISLATION
IDN,2017,NA,South-East Asia,HSS_UHCLEGISLATION
CYP,2017,NA,Europe,HSS_UHCLEGISLATION
SYC,2017,NA,Africa,HSS_UHCLEGISLATION
SVN,2017,NA,Europe,HSS_UHCLEGISLATION
GRD,2017,NA,Americas,HSS_UHCLEGISLATION
NLD,2017,NA,Europe,HSS_UHCLEGISLATION
NRU,2017,NA,Western Pacific,HSS_UHCLEGISLATION
GNB,2017,NA,Africa,HSS_UHCLEGISLATION
JAM,2017,NA,Americas,HSS_UHCLEGISLATION
KAZ,2017,NA,Europe,HSS_UHCLEGISLATION
ARM,2017,NA,Europe,HSS_UHCLEGISLATION
HUN,2017,NA,Europe,HSS_UHCLEGISLATION
GEO,2017,NA,Europe,HSS_UHCLEGISLATION
CIV,2017,NA,Africa,HSS_UHCLEGISLATION
BLR,2017,NA,Europe,HSS_UHCLEGISLATION
GAB,2017,NA,Africa,HSS_UHCLEGISLATION
GHA,2017,NA,Africa,HSS_UHCLEGISLATION
ESP,2017,NA,Europe,HSS_UHCLEGISLATION
AGO,2017,NA,Africa,HSS_UHCLEGISLATION
BHR,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
MCO,2017,NA,Europe,HSS_UHCLEGISLATION
SMR,2017,NA,Europe,HSS_UHCLEGISLATION
NOR,2017,NA,Europe,HSS_UHCLEGISLATION
KGZ,2017,NA,Europe,HSS_UHCLEGISLATION
NIU,2017,NA,Western Pacific,HSS_UHCLEGISLATION
FIN,2017,NA,Europe,HSS_UHCLEGISLATION
ZAF,2017,NA,Africa,HSS_UHCLEGISLATION
VUT,2017,NA,Western Pacific,HSS_UHCLEGISLATION
SWE,2017,NA,Europe,HSS_UHCLEGISLATION
DZA,2017,NA,Africa,HSS_UHCLEGISLATION
GUY,2017,NA,Americas,HSS_UHCLEGISLATION
FRA,2017,NA,Europe,HSS_UHCLEGISLATION
COL,2017,NA,Americas,HSS_UHCLEGISLATION
MKD,2017,NA,Europe,HSS_UHCLEGISLATION
NIC,2017,NA,Americas,HSS_UHCLEGISLATION
ITA,2017,NA,Europe,HSS_UHCLEGISLATION
PAN,2017,NA,Americas,HSS_UHCLEGISLATION
ISL,2017,NA,Europe,HSS_UHCLEGISLATION
GTM,2017,NA,Americas,HSS_UHCLEGISLATION
AND,2017,NA,Europe,HSS_UHCLEGISLATION
SGP,2017,NA,Western Pacific,HSS_UHCLEGISLATION
PHL,2017,NA,Western Pacific,HSS_UHCLEGISLATION
PER,2017,NA,Americas,HSS_UHCLEGISLATION
COD,2017,NA,Africa,HSS_UHCLEGISLATION
TZA,2017,NA,Africa,HSS_UHCLEGISLATION
KNA,2017,NA,Americas,HSS_UHCLEGISLATION
NZL,2017,NA,Western Pacific,HSS_UHCLEGISLATION
KOR,2017,NA,Western Pacific,HSS_UHCLEGISLATION
MDA,2017,NA,Europe,HSS_UHCLEGISLATION
ERI,2017,NA,Africa,HSS_UHCLEGISLATION
CHE,2017,NA,Europe,HSS_UHCLEGISLATION
MAR,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
UGA,2017,NA,Africa,HSS_UHCLEGISLATION
LVA,2017,NA,Europe,HSS_UHCLEGISLATION
GRC,2017,NA,Europe,HSS_UHCLEGISLATION
DJI,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
BTN,2017,NA,South-East Asia,HSS_UHCLEGISLATION
YEM,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
FJI,2017,NA,Western Pacific,HSS_UHCLEGISLATION
OMN,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
TGO,2017,NA,Africa,HSS_UHCLEGISLATION
MEX,2017,NA,Americas,HSS_UHCLEGISLATION
LSO,2017,NA,Africa,HSS_UHCLEGISLATION
BRB,2017,NA,Americas,HSS_UHCLEGISLATION
BRA,2017,NA,Americas,HSS_UHCLEGISLATION
IRN,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
SEN,2017,NA,Africa,HSS_UHCLEGISLATION
MUS,2017,NA,Africa,HSS_UHCLEGISLATION
NER,2017,NA,Africa,HSS_UHCLEGISLATION
BIH,2017,NA,Europe,HSS_UHCLEGISLATION
RWA,2017,NA,Africa,HSS_UHCLEGISLATION
KIR,2017,NA,Western Pacific,HSS_UHCLEGISLATION
LBR,2017,NA,Africa,HSS_UHCLEGISLATION
HTI,2017,NA,Americas,HSS_UHCLEGISLATION
SSD,2017,NA,Africa,HSS_UHCLEGISLATION
ISR,2017,NA,Europe,HSS_UHCLEGISLATION
PRK,2017,NA,South-East Asia,HSS_UHCLEGISLATION
SWZ,2017,NA,Africa,HSS_UHCLEGISLATION
TUV,2017,NA,Western Pacific,HSS_UHCLEGISLATION
DMA,2017,NA,Americas,HSS_UHCLEGISLATION
IRQ,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
PNG,2017,NA,Western Pacific,HSS_UHCLEGISLATION
ARE,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
SRB,2017,NA,Europe,HSS_UHCLEGISLATION
LBY,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
MLT,2017,NA,Europe,HSS_UHCLEGISLATION
MNE,2017,NA,Europe,HSS_UHCLEGISLATION
SYR,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
CUB,2017,NA,Americas,HSS_UHCLEGISLATION
THA,2017,NA,South-East Asia,HSS_UHCLEGISLATION
SOM,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
QAT,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
GMB,2017,NA,Africa,HSS_UHCLEGISLATION
USA,2017,NA,Americas,HSS_UHCLEGISLATION
BDI,2017,NA,Africa,HSS_UHCLEGISLATION
LTU,2017,NA,Europe,HSS_UHCLEGISLATION
MDG,2017,NA,Africa,HSS_UHCLEGISLATION
ALB,2017,NA,Europe,HSS_UHCLEGISLATION
PLW,2017,NA,Western Pacific,HSS_UHCLEGISLATION
TUN,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
BLZ,2017,NA,Americas,HSS_UHCLEGISLATION
BHS,2017,NA,Americas,HSS_UHCLEGISLATION
PAK,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
CPV,2017,NA,Africa,HSS_UHCLEGISLATION
RUS,2017,NA,Europe,HSS_UHCLEGISLATION
HND,2017,NA,Americas,HSS_UHCLEGISLATION
TJK,2017,NA,Europe,HSS_UHCLEGISLATION
DOM,2017,NA,Americas,HSS_UHCLEGISLATION
VCT,2017,NA,Americas,HSS_UHCLEGISLATION
VNM,2017,NA,Western Pacific,HSS_UHCLEGISLATION
PRT,2017,NA,Europe,HSS_UHCLEGISLATION
IND,2017,NA,South-East Asia,HSS_UHCLEGISLATION
CRI,2017,NA,Americas,HSS_UHCLEGISLATION
MRT,2017,NA,Africa,HSS_UHCLEGISLATION
LKA,2017,NA,South-East Asia,HSS_UHCLEGISLATION
BFA,2017,NA,Africa,HSS_UHCLEGISLATION
CMR,2017,NA,Africa,HSS_UHCLEGISLATION
LCA,2017,NA,Americas,HSS_UHCLEGISLATION
LUX,2017,NA,Europe,HSS_UHCLEGISLATION
EGY,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
UZB,2017,NA,Europe,HSS_UHCLEGISLATION
SLE,2017,NA,Africa,HSS_UHCLEGISLATION
TCD,2017,NA,Africa,HSS_UHCLEGISLATION
AUS,2017,NA,Western Pacific,HSS_UHCLEGISLATION
MHL,2017,NA,Western Pacific,HSS_UHCLEGISLATION
CAF,2017,NA,Africa,HSS_UHCLEGISLATION
ZMB,2017,NA,Africa,HSS_UHCLEGISLATION
AZE,2017,NA,Europe,HSS_UHCLEGISLATION
TKM,2017,NA,Europe,HSS_UHCLEGISLATION
GNQ,2017,NA,Africa,HSS_UHCLEGISLATION
SDN,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
SUR,2017,NA,Americas,HSS_UHCLEGISLATION
GBR,2017,NA,Europe,HSS_UHCLEGISLATION
BRN,2017,NA,Western Pacific,HSS_UHCLEGISLATION
HRV,2017,NA,Europe,HSS_UHCLEGISLATION
BWA,2017,NA,Africa,HSS_UHCLEGISLATION
MLI,2017,NA,Africa,HSS_UHCLEGISLATION
WSM,2017,NA,Western Pacific,HSS_UHCLEGISLATION
MYS,2017,NA,Western Pacific,HSS_UHCLEGISLATION
SVK,2017,NA,Europe,HSS_UHCLEGISLATION
SLV,2017,NA,Americas,HSS_UHCLEGISLATION
BGR,2017,NA,Europe,HSS_UHCLEGISLATION
BOL,2017,NA,Americas,HSS_UHCLEGISLATION
NGA,2017,NA,Africa,HSS_UHCLEGISLATION
KWT,2017,NA,Eastern Mediterranean,HSS_UHCLEGISLATION
EST,2017,NA,Europe,HSS_UHCLEGISLATION
DNK,2017,NA,Europe,HSS_UHCLEGISLATION
VEN,2017,NA,Americas,HSS_UHCLEGISLATION
TON,2017,NA,Western Pacific,HSS_UHCLEGISLATION
NAM,2017,NA,Africa,HSS_UHCLEGISLATION
ROU,2017,NA,Europe,HSS_UHCLEGISLATION
FSM,2017,NA,Western Pacific,HSS_UHCLEGISLATION
URY,2017,NA,Americas,HSS_UHCLEGISLATION
PRY,2017,NA,Americas,HSS_UHCLEGISLATION
SLB,2017,NA,Western Pacific,HSS_UHCLEGISLATION
DEU,2017,NA,Europe,HSS_UHCLEGISLATION
